time,location,co2,humidity,temperature
2025-04-25 02:35:00+00:00,8인 책상,535.0,20.8,24.82
2025-04-25 02:40:00+00:00,안쪽벽 중앙,,31.5,22.7
2025-04-25 02:40:00+00:00,왼쪽 뒤,727.5,29.0,23.25
2025-04-25 02:40:00+00:00,8인 책상,495.6,19.6,24.9
2025-04-25 02:40:00+00:00,보드,712.0,37.0,25.1
2025-04-25 02:45:00+00:00,8인 책상,492.8,20.0,24.9
2025-04-25 02:45:00+00:00,보드,715.6666666666666,36.833333333333336,25.066666666666666
2025-04-25 02:45:00+00:00,왼쪽 뒤,710.3333333333334,29.166666666666668,23.333333333333332
2025-04-25 02:50:00+00:00,8인 책상,496.6,19.7,24.9
2025-04-25 02:50:00+00:00,보드,737.5,36.75,25.15
2025-04-25 02:50:00+00:00,안쪽벽 중앙,,32.0,22.7
2025-04-25 02:50:00+00:00,왼쪽 뒤,667.5,29.0,23.4
2025-04-25 02:55:00+00:00,8인 책상,492.6,18.8,24.9
2025-04-25 02:55:00+00:00,보드,692.0,36.5,25.100000000000005
2025-04-25 02:55:00+00:00,왼쪽 뒤,630.3333333333334,28.666666666666668,23.366666666666664
2025-04-25 03:00:00+00:00,왼쪽 뒤,602.0,28.5,23.299999999999997
2025-04-25 03:00:00+00:00,안쪽벽 중앙,,31.5,22.7
2025-04-25 03:00:00+00:00,보드,671.0,36.5,25.066666666666666
2025-04-25 03:00:00+00:00,8인 책상,470.2,17.9,24.78
2025-04-25 03:05:00+00:00,8인 책상,465.0,18.0,24.725
2025-04-25 03:05:00+00:00,보드,659.3333333333334,36.166666666666664,25.066666666666666
2025-04-25 03:05:00+00:00,왼쪽 뒤,586.0,28.166666666666668,23.366666666666664
2025-04-25 03:10:00+00:00,8인 책상,455.2,17.8,24.8
2025-04-25 03:10:00+00:00,보드,644.0,35.75,25.1
2025-04-25 03:10:00+00:00,안쪽벽 중앙,,32.0,22.7
2025-04-25 03:10:00+00:00,왼쪽 뒤,579.0,28.0,23.4
2025-04-25 03:15:00+00:00,8인 책상,462.0,18.1,24.8
2025-04-25 03:15:00+00:00,보드,641.75,35.75,25.1
2025-04-25 03:15:00+00:00,왼쪽 뒤,565.3333333333334,28.0,23.433333333333334
2025-04-25 03:20:00+00:00,왼쪽 뒤,553.5,28.0,23.45
2025-04-25 03:20:00+00:00,안쪽벽 중앙,,29.5,22.8
2025-04-25 03:20:00+00:00,8인 책상,472.8,18.6,24.82
2025-04-25 03:20:00+00:00,보드,630.0,35.5,25.05
2025-04-25 03:25:00+00:00,8인 책상,479.2,18.5,24.860000000000003
2025-04-25 03:25:00+00:00,보드,638.0,35.5,25.1
2025-04-25 03:25:00+00:00,왼쪽 뒤,542.0,27.3,23.440000000000005
2025-04-25 03:30:00+00:00,8인 책상,470.0,18.5,24.8
2025-04-25 03:30:00+00:00,보드,638.5,35.5,25.05
2025-04-25 03:30:00+00:00,왼쪽 뒤,527.0,27.5,23.4
2025-04-25 03:35:00+00:00,왼쪽 뒤,526.6,27.6,23.419999999999998
2025-04-25 03:35:00+00:00,8인 책상,493.25,19.25,24.85
2025-04-25 03:35:00+00:00,보드,622.0,35.333333333333336,25.100000000000005
2025-04-25 03:35:00+00:00,안쪽벽 중앙,,30.5,22.7
2025-04-25 03:40:00+00:00,왼쪽 뒤,533.5,27.0,23.4
2025-04-25 03:40:00+00:00,보드,628.5,35.75,25.1
2025-04-25 03:40:00+00:00,8인 책상,494.0,19.5,24.9
2025-04-25 03:45:00+00:00,8인 책상,515.0,20.0,24.9
2025-04-25 03:45:00+00:00,보드,636.0,35.5,25.1
2025-04-25 03:45:00+00:00,왼쪽 뒤,547.0,27.5,23.4
2025-04-25 03:50:00+00:00,왼쪽 뒤,557.6666666666666,26.666666666666668,23.366666666666664
2025-04-25 03:50:00+00:00,8인 책상,506.6,19.7,24.9
2025-04-25 03:50:00+00:00,보드,626.3333333333334,35.0,25.100000000000005
2025-04-25 03:50:00+00:00,안쪽벽 중앙,,30.0,22.6
2025-04-25 03:55:00+00:00,보드,622.0,35.5,25.1
2025-04-25 03:55:00+00:00,왼쪽 뒤,562.3333333333334,27.0,23.399999999999995
2025-04-25 03:55:00+00:00,8인 책상,503.8,19.2,24.9
2025-04-25 04:00:00+00:00,안쪽벽 중앙,,31.0,22.8
2025-04-25 04:00:00+00:00,왼쪽 뒤,609.25,26.875,23.4
2025-04-25 04:00:00+00:00,8인 책상,507.2,19.6,24.9
2025-04-25 04:00:00+00:00,보드,607.25,34.875,25.075000000000003
2025-04-25 04:05:00+00:00,8인 책상,569.6,20.9,24.9
2025-04-25 04:05:00+00:00,보드,601.0,35.0,25.0
2025-04-25 04:05:00+00:00,왼쪽 뒤,610.5,26.5,23.4
2025-04-25 04:10:00+00:00,8인 책상,581.2,21.0,24.9
2025-04-25 04:10:00+00:00,보드,599.0,34.833333333333336,25.03333333333333
2025-04-25 04:10:00+00:00,안쪽벽 중앙,,28.0,22.7
2025-04-25 04:10:00+00:00,왼쪽 뒤,578.6666666666666,25.666666666666668,23.366666666666664
2025-04-25 04:15:00+00:00,8인 책상,581.6,21.0,24.9
2025-04-25 04:15:00+00:00,보드,596.0,34.75,24.95
2025-04-25 04:15:00+00:00,왼쪽 뒤,615.5,25.75,23.3
2025-04-25 04:20:00+00:00,왼쪽 뒤,578.6666666666666,25.666666666666668,23.266666666666666
2025-04-25 04:20:00+00:00,안쪽벽 중앙,,30.5,22.9
2025-04-25 04:20:00+00:00,보드,592.3333333333334,34.166666666666664,24.933333333333334
2025-04-25 04:20:00+00:00,8인 책상,570.2,21.0,24.9
2025-04-25 04:25:00+00:00,8인 책상,554.2,21.0,24.9
2025-04-25 04:25:00+00:00,보드,592.0,33.75,24.9
2025-04-25 04:25:00+00:00,왼쪽 뒤,597.0,26.25,23.25
2025-04-25 04:30:00+00:00,8인 책상,551.6,21.1,24.9
2025-04-25 04:30:00+00:00,보드,584.0,34.0,24.9
2025-04-25 04:30:00+00:00,안쪽벽 중앙,,33.0,22.7
2025-04-25 04:30:00+00:00,왼쪽 뒤,618.5,26.625,23.325
2025-04-25 04:35:00+00:00,8인 책상,527.6,21.1,24.919999999999998
2025-04-25 04:35:00+00:00,보드,594.6666666666666,34.0,24.866666666666664
2025-04-25 04:35:00+00:00,왼쪽 뒤,637.5,27.25,23.3
2025-04-25 04:40:00+00:00,안쪽벽 중앙,,32.5,23.2
2025-04-25 04:40:00+00:00,왼쪽 뒤,663.4,28.2,23.4
2025-04-25 04:40:00+00:00,8인 책상,566.4,22.0,24.9
2025-04-25 04:40:00+00:00,보드,618.0,33.5,24.8
2025-04-25 04:45:00+00:00,8인 책상,568.0,22.0,24.919999999999998
2025-04-25 04:45:00+00:00,보드,578.0,33.5,24.866666666666664
2025-04-25 04:45:00+00:00,왼쪽 뒤,681.5,28.5,23.4
2025-04-25 04:50:00+00:00,안쪽벽 중앙,,36.0,23.1
2025-04-25 04:50:00+00:00,왼쪽 뒤,692.0,28.666666666666668,23.5
2025-04-25 04:50:00+00:00,8인 책상,550.6,21.6,24.9
2025-04-25 04:50:00+00:00,보드,579.0,33.25,24.8
2025-04-25 04:55:00+00:00,8인 책상,528.2,21.5,24.9
2025-04-25 04:55:00+00:00,보드,589.6666666666666,33.166666666666664,24.766666666666666
2025-04-25 04:55:00+00:00,왼쪽 뒤,710.0,29.25,23.549999999999997
2025-04-25 05:00:00+00:00,8인 책상,543.5,22.0,24.9
2025-04-25 05:00:00+00:00,보드,589.0,33.25,24.8
2025-04-25 05:00:00+00:00,왼쪽 뒤,710.0,29.666666666666668,23.566666666666666
2025-04-25 05:05:00+00:00,왼쪽 뒤,720.3333333333334,30.0,23.633333333333336
2025-04-25 05:05:00+00:00,안쪽벽 중앙,,33.5,23.2
2025-04-25 05:05:00+00:00,8인 책상,542.6666666666666,22.166666666666668,24.96666666666667
2025-04-25 05:05:00+00:00,보드,590.6666666666666,33.5,24.733333333333334
2025-04-25 05:10:00+00:00,8인 책상,526.4,21.4,25.0
2025-04-25 05:10:00+00:00,보드,565.6666666666666,33.5,24.8
